CENTER_X,CENTER_Y,LEFT_X,LEFT_Y,RIGHT_X,RIGHT_Y
45,-18.2,41.65,-18.2,48.35,-18.2
45,-17.2,41.65,-17.2,48.35,-17.2
45,-16.2,41.65,-16.2,48.35,-16.2
45,-16.7,41.65,-16.7,48.35,-16.7
44.92960191,-15.08761876,41.59234968,-15.3795905,48.26685415,-14.79564702
44.71894343,-13.48750871,41.41983746,-14.06923011,48.0180494,-12.90578732
44.36962779,-11.91184767,41.13377627,-12.77889147,47.6054793,-11.04480386
43.88431348,-10.37262735,40.7363432,-11.51839483,47.03228376,-9.226859868
43.26669406,-8.881562158,40.23056297,-10.29733333,46.30282515,-7.465790981
42.52146997,-7.45,39.62028487,-9.125,45.42265507,-5.775
41.65431282,-6.088835928,38.91015347,-8.010316989,44.39847217,-4.167354866
40.6718222,-4.808429221,38.10557331,-6.961767713,43.23807108,-2.655090728
39.58147545,-3.618524548,37.21266773,-5.987332265,41.95028317,-1.249716831
38.39157078,-2.528177802,36.23823229,-5.094426687,40.54490927,0.038071082
37.11116407,-1.545687181,35.18968301,-4.289846529,39.03264513,1.198472168
35.75,-0.67853003,34.075,-3.579715133,37.425,2.222655073
34.31843784,0.06669406,32.90266667,-2.969437026,35.73420902,3.102825147
32.82737265,0.684313485,31.68160517,-2.463656795,33.97314013,3.832283764
31.28815233,1.169627786,30.42110853,-2.066223732,32.15519614,4.405479304
29.71249129,1.518943431,29.13076989,-1.780162542,30.29421268,4.818049403
28.11238124,1.729601915,27.8204095,-1.607650324,28.40435298,5.066854153
26.5,1.8,26.5,-1.55,26.5,5.15
25.5,1.8,25.5,-1.55,25.5,5.15
24.5,1.8,24.5,-1.55,24.5,5.15
23.5,1.8,23.5,-1.55,23.5,5.15
22.5,1.8,22.5,-1.55,22.5,5.15
21.5,1.8,21.5,-1.55,21.5,5.15
20.5,1.8,20.5,-1.55,20.5,5.15
19.5,1.8,19.5,-1.55,19.5,5.15
18.5,1.8,18.5,-1.55,18.5,5.15
17.5,1.8,17.5,-1.55,17.5,5.15
16.5,1.8,16.5,-1.55,16.5,5.15
15.5,1.8,15.5,-1.55,15.5,5.15
14.5,1.8,14.5,-1.55,14.5,5.15
13.5,1.8,13.5,-1.55,13.5,5.15
12.5,1.8,12.5,-1.55,12.5,5.15
11.5,1.8,11.5,-1.55,11.5,5.15
10.5,1.8,10.5,-1.55,10.5,5.15
9.5,1.8,9.5,-1.55,9.5,5.15
8.5,1.8,8.5,-1.55,8.5,5.15
7.5,1.8,7.5,-1.55,7.5,5.15
6.5,1.8,6.5,-1.55,6.5,5.15
5.5,1.8,5.5,-1.55,5.5,5.15
4.5,1.8,4.5,-1.55,4.5,5.15
3.5,1.8,3.5,-1.55,3.5,5.15
2.5,1.8,2.5,-1.55,2.5,5.15
1.5,1.8,1.5,-1.55,1.5,5.15
0.5,1.8,0.5,-1.55,0.5,5.15
-0.5,1.8,-0.5,-1.55,-0.5,5.15
-1.5,1.8,-1.5,-1.55,-1.5,5.15
-2.5,1.8,-2.5,-1.55,-2.5,5.15
-3.5,1.8,-3.5,-1.55,-3.5,5.15
-4.5,1.8,-4.5,-1.55,-4.5,5.15
-5.5,1.8,-5.5,-1.55,-5.5,5.15
-6.5,1.8,-6.5,-1.55,-6.5,5.15
-7.5,1.8,-7.5,-1.55,-7.5,5.15
-8.5,1.8,-8.5,-1.55,-8.5,5.15
-9.5,1.8,-9.5,-1.55,-9.5,5.15
-10.5,1.8,-10.5,-1.55,-10.5,5.15
-11.5,1.8,-11.5,-1.55,-11.5,5.15
-12.5,1.8,-12.5,-1.55,-12.5,5.15
-13.5,1.8,-13.5,-1.55,-13.5,5.15
-14.5,1.8,-14.5,-1.55,-14.5,5.15
-15.5,1.8,-15.5,-1.55,-15.5,5.15
-16.5,1.8,-16.5,-1.55,-16.5,5.15
-17.5,1.8,-17.5,-1.55,-17.5,5.15
-18.5,1.8,-18.5,-1.55,-18.5,5.15
